,Feature_Map,Data_Type,PCA_Components,Accuracy_Score,n_fold,fold_index,Used_Metamorphic,Apply_Scalar_value,Scalar_Value,Apply_Rotation_Angle,Angle_Rotation,Apply_Permutation,Invert_Labels,Apply_Perturb_Noise,Perturb_Noise,Modify_Circuit_Depth,adding_Additional_Feature,Adding_Additional_Data_Point,Date_And_Time
0,Amplitude Embedding,Wine Data,13,1,16,0,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:17
1,Amplitude Embedding,Wine Data,13,1,16,1,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:18
2,Amplitude Embedding,Wine Data,13,0.8181818181818182,16,2,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:19
3,Amplitude Embedding,Wine Data,13,1,16,3,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:20
4,Amplitude Embedding,Wine Data,13,0.9090909090909091,16,4,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:21
5,Amplitude Embedding,Wine Data,13,1,16,5,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:22
6,Amplitude Embedding,Wine Data,13,0.9090909090909091,16,6,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:23
7,Amplitude Embedding,Wine Data,13,1,16,7,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:24
8,Amplitude Embedding,Wine Data,13,1,16,8,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:25
9,Amplitude Embedding,Wine Data,13,0.9090909090909091,16,9,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:26
10,Amplitude Embedding,Wine Data,13,1,16,10,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,3/2/25 4:27
